A1             pred_score
스윗밸런스 샤로수점    0.010253
모힝_x          0.010231
오지편한식당        0.010119
오후의과일         0.010117
동경산책          0.009907
모힝_y          0.009884
정숙성           0.009811
A41           pred_score
storeID             
동경산책        0.017090
제주상회        0.016191
더멜팅팟        0.015127
에그썸         0.014483
쟝블랑제리       0.014258
킷사서울        0.013745
쥬벤쿠바        0.013718
나인온스버거_x    0.013466
나인온스버거_y    0.013336
로향양꼬치       0.013171
A42            pred_score
storeID              
쥬벤쿠바         0.009022
싸다김밥 사당역점    0.008371
현씨공방         0.007651
마이무          0.007407
오지편한식당       0.007403
정든김밥         0.007374
아리차이 신림점     0.007366
라페리체         0.007235
섭지수산         0.007205
하라고지페        0.007134
A43               pred_score
storeID                 
하라고지페           0.008757
로향양꼬치 서울대2호점    0.007983
사케바히토리          0.007908
섭지수산            0.007551
낭만모로코           0.007509
히토리 더 야끼니꾸      0.007472
쥬벤쿠바            0.007431
퍼블리코타코          0.007406
인헌수산            0.007352
동학주점            0.007220
A44          pred_score
storeID            
동경산책       0.013208
문득         0.012478
고베규카츠      0.012303
삼백돈        0.012303
미친키친       0.011997
킷사서울       0.011112
오후의과일      0.010464
연소바        0.009770
소담멸치국수     0.009770
양지순천집      0.009770
A45            pred_score
storeID              
에그썸          0.011153
쟝블랑제리        0.011009
나인온스버거_x     0.010331
나인온스버거_y     0.010225
킷사서울         0.010064
라미스콘 샤로수점    0.009865
더멜팅팟         0.009739
오후의과일        0.009635
쥬벤쿠바         0.009325
우리가참순대       0.009303
A46            pred_score
storeID              
김가네          0.011771
친목           0.008380
소담멸치국수       0.005894
양지순천집        0.005894
연소바          0.005894
#술비 부평점      0.005894
요달의 찜닭       0.005894
사랑찌개백반전문점    0.005894
백년황소곱창       0.005894
우된장 신림점      0.005894
A47               pred_score
storeID                 
연소바             0.014436
양지순천집           0.014436
소담멸치국수          0.014436
맛있는밥집 쿠킹마마      0.014436
하우츠마라탕          0.014436
봄블룸봄 온더테이블      0.014436
수담쿡             0.014436
신참떡볶이 노원상계점     0.014436
심봉사도로케 신림대학점    0.014436
장수촌풍천장어         0.014436
A48              pred_score
storeID                
파고             0.009524
동경산책           0.009161
또오리포차          0.009125
무삥과 팟타이        0.009125
양지순천집          0.008739
소담멸치국수         0.008739
연소바            0.008739
봄블룸봄 온더테이블     0.008739
수담쿡            0.008739
신참떡볶이 노원상계점    0.008739
A49             pred_score
storeID               
제주상회.1        0.013390
순보보           0.012565
연소바           0.010454
양지순천집         0.010454
소담멸치국수        0.010454
만돌이네족발보쌈      0.010454
마라하오도봉점       0.010454
별난분식 경기대점     0.010454
가마로강정 방학역점    0.010454
만나칼국수         0.010454
A50               pred_score
storeID                 
카페산다            0.006100
성민양꼬치_x         0.005908
성민양꼬치           0.005908
순이네밥상           0.005895
보승회관            0.005732
누들하우스           0.005478
미카엘             0.005453
한씨네춘천닭갈비        0.005361
라화쿵부 서울대샤로수점    0.005325
더고기 서울대본점       0.005283
A51                 pred_score
storeID                   
동경산책              0.011968
봉천예술관             0.009461
일점사               0.009069
정박사정육식당 서울대입구점    0.009017
설빙 신림점            0.008635
도깨비               0.008565
쑥고개               0.008565
표표마라탕             0.008565
온돌                0.008333
온고지신              0.008322
A52             pred_score
storeID               
텐동요츠야         0.016204
스윗밸런스 샤로수점    0.013978
삼백돈돈가츠 본점     0.011336
더멜팅팟          0.011153
나인온스버거_y      0.010992
나인온스버거_x      0.010984
킷사서울          0.010424
멘쇼우라멘         0.010011
황홀경           0.009935
